Long,Lat
-129.0000,-58.0000
-127.0000,-58.5717
-125.0000,-59.1435
-121.5552,-60.0000
-120.0000,-60.3010
-117.5000,-60.7156
-115.0000,-61.1302
-112.5000,-61.4476
-110.0000,-61.7649
-105.0000,-62.2185
-102.5000,-62.3592
-100.0000,-62.5000
-95.0000,-62.6591
-92.5000,-62.6570
-90.0000,-62.6548
-85.2618,-62.5000
-85.0000,-62.4850
-82.5000,-62.2973
-80.0000,-62.1096
-77.5000,-61.8345
-75.0000,-61.5594
-70.0000,-60.8230
-67.7801,-60.4115
-65.5601,-60.0000
-65.0000,-59.8706
-62.5000,-59.2286
-60.0000,-58.5865
-58.0000,-58.0000
