Name,Lat,Long
Falklands,-52.63472222222222,-59.879999999999995
Halley,-75.26722,-27.21694
Rothera,-68.38916666666667,-69.24361111111114
South Georgia,-54.87916666666667,-37.264166666666654
South Sandwich Trench,-56.41138888888889,-25.058611111111134
North Peninsula,-63.03138888888889,-50.94
Bellingshausen Sea,-70.90333333333334,-82.8175
Elephant Island,-60.54722222222222,-55.181388888888875
Palmer,-64.67861111111111,-67.13305555555553
Amundsen Sea,-73.438,-106.875
SassiMoorings,-72.25028,-18.62722
