Name,Lat,Long
Falklands,-52.63472222222222,300.12
SouthGeorgia,-54.87916666666667,322.73583333333335
SouthSandwichTrench,-56.41138888888889,334.94138888888887
NorthPeninsula,-63.03138888888889,309.06
MaudRise,-66.08277777777778,357.1725
AmundsenSea,-69.32305555555556,230.30916666666667
CentralWeddellSea,-71.08472222222221,315.0547222222222
SouthOrkneyIslands,-60.486111111111114,314.6952777777778
CentralScotiaSea,-58.35805555555556,315.76722222222224
FilchnerTroughOverflow,-76.99277777777777,324.05305555555555
FilchnerRonneIceShelf,-77.96805555555555,318.50111111111113
ArgentineSea,-43.0,301.8661111111111
BellingshausenSea,-70.90333333333334,277.1825
MargueriteBay,-68.38916666666667,290.75638888888886
Palmer,-64.67861111111111,292.86694444444447
Brunt,-74.04166666666667,331.71527777777777
NorthernWeddellSea,-63.448611111111106,325.79805555555555
NorthWestGeorgiaRise,-52.356944444444444,323.0622222222222
ShagRocksPassage,-52.21388888888889,311.84444444444443
ElephantIsland,-60.54722222222222,304.8186111111111
BurdwoodBank,-54.48527777777778,299.8611111111111
A23bottom,-62.43418611111111,326.7390888888889
A23top,-57.02050833333333,321.6415361111111
SR4top,-61.5827,310.2439777777778
SR4bottom,-68.41325555555557,330.68688055555555
OrkneyPassageEntry,-60.951438888888894,331.42125555555555
OrkneyPassageExit,-60.694494444444445,320.8237638888889
WSDWsource1,-66.77425833333334,302.74699166666664
WSDWsource2,-70.76821111111111,307.0253916666667
LongPathStart,-58.0,302.0
LongPathEnd,-58.0,231.0
