Name,Lat,Long
Falklands,-52.63472222222222,-59.879999999999995
SouthGeorgia,-54.87916666666667,-37.264166666666654
SouthSandwichTrench,-56.41138888888889,-25.058611111111134
NorthPeninsula,-63.03138888888889,-50.94
MaudRise,-66.08277777777778,-2.8274999999999864
AmundsenSea,-69.32305555555556,-129.69083333333333
CentralWeddellSea,-71.08472222222221,-44.94527777777779
SouthOrkneyIslands,-60.48611111111112,-45.30472222222221
CentralScotiaSea,-58.35805555555556,-44.232777777777756
FilchnerTroughOverflow,-76.99277777777777,-35.946944444444455
FilchnerRonneIceShelf,-77.96805555555555,-41.498888888888814
ArgentineSea,-43.0,-58.13388888888892
BellingshausenSea,-70.90333333333334,-82.8175
MargueriteBay,-68.38916666666667,-69.24361111111114
Palmer,-64.67861111111111,-67.13305555555553
Brunt,-74.04166666666667,-28.28472222222223
NorthernWeddellSea,-63.44861111111111,-34.20194444444445
NorthWestGeorgiaRise,-52.35694444444445,-36.9377777777778
ShagRocksPassage,-52.21388888888889,-48.155555555555566
ElephantIsland,-60.54722222222222,-55.181388888888875
BurdwoodBank,-54.48527777777778,-60.138888888888914
A23bottom,-62.43418611111111,-33.26091111111111
A23top,-57.02050833333333,-38.35846388888888
SR4top,-61.5827,-49.756022222222214
SR4bottom,-68.41325555555557,-29.313119444444453
OrkneyPassageEntry,-60.951438888888894,-28.578744444444453
OrkneyPassageExit,-60.694494444444445,-39.17623611111111
WSDWsource1,-66.77425833333334,-57.253008333333355
WSDWsource2,-70.76821111111111,-52.97460833333332
LongPathStart,-58.0,-58.0
LongPathEnd,-58.0,-129.0
